anio,region,pais,lugar,empresa,tipos,monto_musd,resultado,desc,fuente
2025,América del Sur,Brasil — Ceará,Colón,Amazon (3 proyectos),agua,,reducido,3 DCs podrían consumir 4 M litros/día para ciudad de 65.000 hab. Amazon prometió refrigeración por aire ante la presión.,Nearshore Americas feb 2025
2025,Asia-Pacífico,India — Telangana,Hyderabad,Amazon,tierras,,activo,Investigación DEF encontró que cuerpos de autogobierno local y agricultores fueron excluidos del proceso de asignación de tierras para el datacenter de Amazon.,Rest of World abr 2026
2025,Europa,Países Bajos,La Haya (tribunal),Estado holandés,energia|tierras,,judicial,Greenpeace v. Países Bajos (ene. 2025): tribunal ordenó acción para proteger reservas Natura 2000 de nitrógeno. €10 M de multa en caso de incumplimiento.,Wikipedia / DCD
2025,Europa,Escocia,Edimburgo,N/D,energia,,cancelado,El Concejo Municipal de Edimburgo rechazó un datacenter propuesto en el antiguo edificio del Royal Bank of Scotland.,DataCenterKnowledge mar 2026
2025,Europa,España / Italia / Francia,Múltiples,Múltiples hyperscalers,agua,,activo,Alarma por proyectos AI en regiones con escasez hídrica. EUDCA reconoce preocupación pero no hay regulación obligatoria aún.,CNBC oct 2025
2025,Europa,Reino Unido,Nacional,Industria DC,energia|aire,,activo,Informe de Global Action Plan / Foxglove: datacenters planificados podrían desbordar el presupuesto de carbono del RU.,Prospect Magazine mar 2026
2025,Global,EE.UU. / LatAm / Europa,Múltiples países,Toda la industria,secreto|agua|energia,,activo,"Más de una docena de inversores presionan a Amazon, Microsoft y Google para divulgar datos de consumo de agua y energía por instalación. Norteamérica consumió ~1 billón de litros de agua en 2025.",TechRadar 2026
2025,Global,EE.UU. / Global,Múltiples países,Toda la industria,agua|energia|ruido|aire,156000,activo,"En 2025, la oposición local llevó a cancelación o demora de proyectos por USD 156.000 millones. 188 grupos activos en 40 estados EE.UU. Apoyo público: -24% (vs +2% en sep. 2024).",Heatmap / Wikipedia / Trellis.net
2024,América del Norte,EE.UU. — Arizona,Goodyear / Buckeye,Tract,ruido|energia|agua,14000,retirado,"Dos proyectos >1 GW retirados por bloqueo de rezonificación. Oposición citó alturas, ruido y sobrecarga de servicios.",Wikipedia / Data Center Watch
2024,América del Norte,EE.UU. — Missouri,Peculiar,Diode Ventures,ruido|aire|agua,1500,cancelado,Grupo 'Peaceful Peculiar' organizó oposición en reuniones de planificación. Concejo rechazó por unanimidad en sep. 2024.,Wikipedia / Data Center Watch
2024,América del Norte,EE.UU. — Indiana,Chesterton,Provident Realty Advisors,aire|agua|tierras,1300,cancelado,"Cancelado por preocupaciones sobre calidad del aire, recursos hídricos, fauna y valor de las propiedades.",Data Center Watch / DataCenterKnowledge
2024,América del Norte,EE.UU. — Virginia,Warrenton,Amazon,ruido|agua|energia,,activo,"Tras aprobarse el campus, todos los concejales que votaron a favor perdieron la reelección. Múltiples demandas judiciales pendientes.",DataCenterKnowledge abr 2026
2024,América del Norte,EE.UU. — Virginia,Richmond,DC Blox,ruido|agua,500,reducido,Proyecto reducido de 195.000 a 65.000 pies cuadrados y reubicado. Presentación de revisada en feb. 2025.,Data Center Watch
2024,América del Norte,EE.UU. — Virginia,Powhatan County,Province Group,ruido|energia|agua,3000,reducido,Diferido en jul. 2024. Aprobado en oct. 2024 por 3-2 a pesar de oposición.,Data Center Watch
2024,América del Norte,EE.UU. — Virginia,Fauquier County,Headwaters Site Development,ruido|agua|energia|tierras,400,retirado,Plan de rezonificación retirado tras movilización ciudadana.,DataCenterKnowledge abr 2026
2024,Asia-Pacífico,India — Telangana,Hyderabad,Microsoft,tierras|agua|aire,,activo,Acusaciones de invasión de tierra y vertido de residuos industriales. Investigación DEF (ago 2025) confirmó exclusión de agricultores del proceso de asignación de tierras. Microsoft negó las acusaciones.,Rest of World abr 2026
2024,Europa,Países Bajos,N/D,Meta,energia|tierras,,retirado,"Meta descartó lo que iba a ser el datacenter más grande del país, tras resistencia ciudadana y regulatoria.",Prospect Magazine mar 2026
2024,Europa,Irlanda,Nacional,Toda la industria,energia,,activo,Datacenters consumieron el 22% de la electricidad nacional en 2024. Irlanda declaró en 2022 que los proyectos que no cumplan principios de sostenibilidad 'no están en línea con la política del gobierno'.,Prospect Magazine / HWG LLP
2023,América del Norte,EE.UU. — Arizona,Condado de Maricopa,Meta / Microsoft / Google,agua,,victoria,Arizona revocó permisos de construcción para nuevas viviendas por escasez de aguas subterráneas donde operan datacenters.,SEHN / SourceMaterial 2025
2023,América del Sur,Uruguay,Canelones (Parque Ciencias),Google (Proyecto Teros),agua|secreto,200,victoria,"Ocultamiento de consumo de 7,6 ML/día bajo NDA con gobierno. La justicia levantó la reserva vía Ley de Acceso + Acuerdo de Escazú. Google eliminó totalmente el uso de agua y reformuló el proyecto.",El Observador / Min. Ambiente UY / DCD
2023,América del Sur,Chile,"Cerrillos, Santiago",Google,agua,,victoria,7.000 M litros/año proyectados (80.000 personas). Tribunal Ambiental anuló la aprobación original y ordenó reformulación. Google cambió a refrigeración por aire.,Nearshore Americas / DCD
2023,América del Sur,Chile,"Quilicura, Santiago",Microsoft,agua|energia,,activo,Anuncio de datacenter en Quilicura desencadenó protestas. El nodo eléctrico de Quilicura podría cuadruplicar su demanda para 2032.,Nearshore Americas / El Clip 2025
2022,América del Norte,EE.UU. — Arizona,Chandler,Múltiples operadores,ruido,,victoria,Una década de quejas por zumbido constante 24h. En 2022 la ciudad modificó el código de zonificación. En 2025 el concejo votó contra un nuevo DC por unanimidad.,EESI mar 2026
